Date,Body Weight,Calories,Protein,Active Energy,Basal Energy,Steps,Carbs,Fat,Calories_Imputed,Protein_Imputed,Tracker_TDEE,Net_Calorie_Balance,Weight_7Day_Avg,Net_Calorie_7Day_Avg,Target_Weight_Next_Week,Target_Weight_Class_Next_Week,Steps_7Day_Avg
2026-01-30,90.0,1671.93,146.038,1336.11,2100.62,8281.81,250.0,70.0,1810.04,143.158,3436.7299999999996,-1626.6899999999996,90.0,-1626.6899999999996,90.0,0,8281.81
2026-01-31,90.0,1671.93,146.038,172.781,1954.23,2057.0,250.0,70.0,1810.04,143.158,2127.011,-316.971,90.0,-971.8304999999998,90.0,0,5169.405
2026-02-01,90.0,1671.93,146.038,838.449,2032.0,10727.0,250.0,70.0,1671.93,146.038,2870.449,-1198.519,90.0,-1047.3933333333332,90.0,0,7021.936666666666
2026-02-02,90.0,1833.31,139.52,1579.56,2101.1,11599.0,250.0,70.0,1833.31,139.52,3680.66,-1847.35,90.0,-1247.3825,90.0,0,8166.202499999999
2026-02-03,90.0,1643.23,143.348,1187.65,2106.63,13067.0,250.0,70.0,1643.23,143.348,3294.28,-1651.0500000000002,90.0,-1328.116,90.0,0,9146.362
2026-02-04,90.0,1643.23,143.348,1622.98,2244.76,14195.6,250.0,70.0,1810.04,143.158,3867.7400000000002,-2057.7000000000003,90.0,-1449.7133333333331,90.0,0,9987.901666666667
2026-02-05,90.0,1643.23,143.348,266.228,2010.87,3659.86,250.0,70.0,1810.04,143.158,2277.098,-467.058,90.0,-1309.334,90.0,0,9083.895714285714
2026-02-06,90.0,1643.23,143.348,1453.09,2057.49,11031.6,250.0,70.0,1810.04,143.158,3510.58,-1700.54,90.0,-1319.884,90.0,0,9476.722857142857
2026-02-07,90.0,1643.23,143.348,241.473,1965.62,3035.0,250.0,70.0,1810.04,143.158,2207.093,-397.0529999999999,90.0,-1331.3242857142857,90.0,0,9616.437142857143
2026-02-08,90.0,1794.94,138.873,1396.33,2134.47,12210.6,250.0,70.0,1794.94,138.873,3530.7999999999997,-1735.8599999999997,90.0,-1408.0872857142858,90.0,0,9828.380000000001
2026-02-09,90.0,1939.34,153.638,1324.34,2184.5,11710.5,250.0,70.0,1939.34,153.638,3508.84,-1569.5000000000002,90.0,-1368.3944285714285,90.0,0,9844.308571428572
2026-02-10,90.0,1640.04,129.392,1041.88,2140.9,13366.2,250.0,70.0,1640.04,129.392,3182.78,-1542.7400000000002,90.0,-1352.9215714285713,90.0,0,9887.051428571429
2026-02-11,90.0,1685.58,131.557,1468.02,2199.64,12987.9,250.0,70.0,1685.58,131.557,3667.66,-1982.08,90.0,-1342.1187142857143,90.0,0,9714.522857142858
2026-02-12,90.0,1715.42,137.677,1447.5,2189.37,13840.7,250.0,70.0,1715.42,137.677,3636.87,-1921.4499999999998,90.0,-1549.889,90.0,0,11168.92857142857
2026-02-13,90.0,1715.42,137.677,507.561,2095.99,6389.55,250.0,70.0,1810.04,143.158,2603.551,-793.511,90.0,-1420.3134285714284,90.0,0,10505.778571428571
2026-02-14,90.0,1715.42,137.677,404.72,2026.03,3793.26,250.0,70.0,1810.04,143.158,2430.75,-620.71,90.0,-1452.2644285714287,90.0,0,10614.10142857143
2026-02-15,90.0,1966.32,154.777,1068.22,2138.2,15423.4,250.0,70.0,1966.32,154.777,3206.42,-1240.1000000000001,90.0,-1381.4415714285715,90.0,0,11073.072857142859
2026-02-16,90.0,1898.17,142.117,1614.07,2180.36,13313.1,250.0,70.0,1898.17,142.117,3794.4300000000003,-1896.2600000000002,90.0,-1428.1215714285715,90.0,0,11302.015714285715
2026-02-17,90.0,1898.17,142.117,932.241,2130.83,12610.0,250.0,70.0,1810.04,143.158,3063.071,-1253.031,90.0,-1386.7345714285714,90.0,0,11193.987142857144
2026-02-18,90.0,1898.17,142.117,665.989,2284.41,7686.56,250.0,70.0,1810.04,143.158,2950.399,-1140.359,90.0,-1266.4887142857144,90.0,0,10436.652857142859
2026-02-19,90.0,1898.17,142.117,856.755,2133.76,10579.0,250.0,70.0,1810.04,143.158,2990.5150000000003,-1180.4750000000004,90.0,-1160.635142857143,90.0,0,9970.695714285714
2026-02-20,90.0,1898.17,142.117,1420.38,2103.76,10446.7,250.0,70.0,1810.04,143.158,3524.1400000000003,-1714.1000000000004,90.0,-1292.1478571428574,90.0,0,10550.288571428571
2026-02-21,90.0,1898.17,142.117,246.298,1978.54,3570.0,250.0,70.0,1810.04,143.158,2224.8379999999997,-414.7979999999998,90.0,-1262.731857142857,90.0,0,10518.394285714285
2026-02-22,90.0,1681.72,141.46,886.166,2152.9,13807.1,250.0,70.0,1681.72,141.46,3039.0660000000003,-1357.3460000000002,90.0,-1279.4812857142858,90.0,0,10287.494285714287
2026-02-23,90.0,2058.98,136.542,1219.22,2099.83,10299.0,250.0,70.0,2058.98,136.542,3319.05,-1260.0700000000002,90.0,-1188.597,90.0,0,9856.908571428572
2026-02-24,90.0,2058.98,136.542,825.844,2129.14,11061.7,250.0,70.0,1810.04,143.158,2954.984,-1144.944,90.0,-1173.1560000000002,90.0,0,9635.722857142857
2026-02-25,90.0,1782.08,142.103,1266.13,2128.93,11046.6,250.0,70.0,1782.08,142.103,3395.06,-1612.98,90.0,-1240.6732857142856,90.0,0,10115.728571428572
2026-02-26,90.0,1404.48,113.935,840.801,2159.92,11019.0,250.0,70.0,1404.48,113.935,3000.721,-1596.241,90.0,-1300.0684285714285,90.0,0,10178.585714285715
2026-02-27,90.0,1404.48,113.935,1689.96,2218.07,17196.7,250.0,70.0,1810.04,143.158,3908.03,-2097.9900000000002,90.0,-1354.909857142857,90.0,0,11142.871428571429
2026-02-28,90.0,1404.48,113.935,382.046,2048.84,6891.0,250.0,70.0,1810.04,143.158,2430.886,-620.846,90.0,-1384.3452857142859,90.0,0,11617.300000000001
2026-03-01,90.0,1404.48,113.935,616.376,2159.22,8442.0,250.0,70.0,1810.04,143.158,2775.5959999999995,-965.5559999999996,90.0,-1328.3752857142856,90.0,0,10850.857142857143
2026-03-02,90.0,1404.48,113.935,636.154,2181.23,8853.34,250.0,70.0,1810.04,143.158,2817.384,-1007.344,90.0,-1292.2715714285714,90.0,0,10644.334285714285
2026-03-03,90.0,1404.48,113.935,135.659,1960.37,2626.91,250.0,70.0,1810.04,143.158,2096.029,-285.98900000000003,90.0,-1169.5637142857142,90.0,0,9439.364285714286
2026-03-04,90.0,1404.48,113.935,110.553,1853.47,3083.0,250.0,70.0,1810.04,143.158,1964.0230000000001,-153.98300000000017,90.0,-961.1355714285713,90.0,0,8301.707142857142
