Date,Body Weight,Calories,Protein,Active Energy,Basal Energy,Steps,Carbs,Fat
2026-01-30,90.0,,,1336.11,2100.62,8281.81,,
2026-01-31,90.0,,,172.781,1954.23,2057.0,,
2026-02-01,90.0,1671.93,146.038,838.449,2032.0,10727.0,,
2026-02-02,90.0,1833.31,139.52,1579.56,2101.1,11599.0,,
2026-02-03,90.0,1643.23,143.348,1187.65,2106.63,13067.0,,
2026-02-04,90.0,,,1622.98,2244.76,14195.6,,
2026-02-05,90.0,,,266.228,2010.87,3659.86,,
2026-02-06,90.0,,,1453.09,2057.49,11031.6,,
2026-02-07,90.0,,,241.473,1965.62,3035.0,,
2026-02-08,90.0,1794.94,138.873,1396.33,2134.47,12210.6,,
2026-02-09,90.0,1939.34,153.638,1324.34,2184.5,11710.5,,
2026-02-10,90.0,1640.04,129.392,1041.88,2140.9,13366.2,,
2026-02-11,90.0,1685.58,131.557,1468.02,2199.64,12987.9,,
2026-02-12,90.0,1715.42,137.677,1447.5,2189.37,13840.7,,
2026-02-13,90.0,,,507.561,2095.99,6389.55,,
2026-02-14,90.0,,,404.72,2026.03,3793.26,,
2026-02-15,90.0,1966.32,154.777,1068.22,2138.2,15423.4,,
2026-02-16,90.0,1898.17,142.117,1614.07,2180.36,13313.1,,
2026-02-17,90.0,,,932.241,2130.83,12610.0,,
2026-02-18,90.0,,,665.989,2284.41,7686.56,,
2026-02-19,90.0,,,856.755,2133.76,10579.0,,
2026-02-20,90.0,,,1420.38,2103.76,10446.7,,
2026-02-21,90.0,,,246.298,1978.54,3570.0,,
2026-02-22,90.0,1681.72,141.46,886.166,2152.9,13807.1,,
2026-02-23,90.0,2058.98,136.542,1219.22,2099.83,10299.0,,
2026-02-24,90.0,,,825.844,2129.14,11061.7,,
2026-02-25,90.0,1782.08,142.103,1266.13,2128.93,11046.6,,
2026-02-26,90.0,1404.48,113.935,840.801,2159.92,11019.0,,
2026-02-27,90.0,,,1689.96,2218.07,17196.7,,
2026-02-28,90.0,,,382.046,2048.84,6891.0,,
2026-03-01,90.0,,,616.376,2159.22,8442.0,,
2026-03-02,90.0,,,636.154,2181.23,8853.34,,
